bad,loan,mortdue,value,reason,job,yoj,derog,delinq,clage,ninq,clno,debtinc
0,23900,,151738,,,,,,,,,16.426
0,6500,,70886,,,,,,,,,23.471
0,7900,,75462,,,,,,,,,23.345
0,22800,,147730,,,,,,,,,16.179
0,26100,,151429,,,,,,,,,15.567
0,11700,,69125,,,,,,,,,23.767
0,4500,,77182,,,,,,,,,25.227
0,5700,,64910,,,,,,,,,33.85
0,10100,,69451,,,,,,,,,22.52
0,10000,,23400,HomeImp,,28,0,0,206.97,1,5,
0,12000,,63000,,,0,0,0,,0,0,
0,4000,,45760,HomeImp,,0,0,0,,0,0,
0,22500,,143254,,,,,,,,,
0,3100,,70400,,,,,,,,,
0,7700,,67350,,,,,,,,,
0,11100,,,,,,,,,,,26.232
0,12800,,,,,,,,,,,25.132
0,14000,,,,,,,,,,,25.69
0,12800,,,,,,,,,,,24.66
0,18200,94727,136877,DebtCon,Mgr,15,0,0,168.96,2,26,36.056
0,21700,79240,96784,DebtCon,Mgr,5,0,0,64.51,6,24,38.079
0,34100,241931,36486,DebtCon,Mgr,1,0,2,196.01,3,50,42.459
0,8400,62989,76718,HomeImp,Mgr,3,0,2,131.47,0,22,29.2
0,17400,25859,43684,DebtCon,Mgr,16,1,0,95.36,1,17,27.108
0,23900,140328,183533,HomeImp,Mgr,8,0,0,322.79,0,17,45.413
0,19700,70709,97394,DebtCon,Mgr,0,0,0,94.86,0,17,25.557
0,17300,79412,114906,DebtCon,Mgr,17,0,0,247.36,4,30,36.536
0,11700,78157,103016,DebtCon,Mgr,1,0,0,69.81,2,24,38.448
0,25300,51261,87025,DebtCon,Mgr,4,0,0,249.84,2,25,31.659
0,11300,46120,52911,HomeImp,Mgr,19,0,0,229.44,1,17,36.335
0,12000,76674,97936,DebtCon,Mgr,5,0,0,147.91,2,27,41.226
0,17400,43110,73614,DebtCon,Mgr,1,0,0,114.29,1,8,26.379
0,15800,41661,80457,DebtCon,Mgr,3,0,1,137.32,0,8,27.434
0,9800,78022,103466,DebtCon,Mgr,1,0,0,83.84,2,24,37.435
0,25900,108319,135884,DebtCon,Mgr,8,1,0,188.38,5,18,40.505
0,8500,50569,60940,DebtCon,Mgr,6,0,0,189.95,0,22,29.202
0,21800,107271,161219,DebtCon,Mgr,15,0,0,187.3,0,26,31.557
0,28400,36484,73478,DebtCon,Mgr,13,1,0,100.98,6,16,34.764
0,14300,45615,80818,DebtCon,Mgr,4,0,0,115.14,0,9,28.738
0,19800,65021,95188,DebtCon,Mgr,1,0,0,73.08,0,16,27.443
0,15200,137128,184660,DebtCon,Mgr,11,0,0,254.36,0,21,28.815
0,12300,81590,90050,DebtCon,Mgr,6,0,0,136.75,1,26,41.733
0,18200,68743,92112,DebtCon,Mgr,0,0,0,95.34,0,16,26.693
0,32400,128523,179390,DebtCon,Mgr,13,0,0,150.08,1,28,43.144
0,19500,100446,121516,HomeImp,Mgr,0,0,0,306.11,1,20,43.022
0,32300,235343,45270,DebtCon,Mgr,3,0,1,210.92,3,49,41.265
0,21800,80092,98561,DebtCon,Mgr,5,0,0,73.32,7,24,37.138
0,17000,82662,111357,DebtCon,Mgr,17,0,0,252.31,4,30,37.316
0,22600,96485,120470,HomeImp,Mgr,9,0,0,112.84,2,24,31.866
0,23000,108464,155821,DebtCon,Mgr,16,0,0,170.22,0,26,35.059
0,33100,236847,46091,DebtCon,Mgr,1,0,2,205.65,3,49,41.833
0,8500,73752,87931,DebtCon,Mgr,21,1,1,291.62,0,24,39.003
0,31900,83226,115509,DebtCon,Mgr,11,0,0,79.03,0,34,26.522
0,23300,81144,106102,DebtCon,Mgr,7,0,0,288.37,1,28,33.271
0,26600,128238,165316,DebtCon,Mgr,1,0,0,236.07,2,23,36.939
0,9900,31244,44138,HomeImp,Mgr,14,0,0,60.63,1,9,31.688
0,20100,137009,286955,HomeImp,Mgr,3,0,0,196.98,0,14,30.085
0,33700,73877,124834,DebtCon,Mgr,10,0,0,68.48,0,34,25.96
0,39700,59360,117186,DebtCon,Mgr,16,0,1,203.14,0,22,40.138
0,19300,50554,76140,DebtCon,Mgr,9,2,0,78.28,3,27,36.027
0,35000,240994,39401,DebtCon,Mgr,3,0,1,210.5,3,50,42.968
0,8400,75912,95329,DebtCon,Mgr,18,0,1,294.16,0,24,38.642
0,13800,75142,95667,DebtCon,Mgr,19,0,0,230.46,10,24,33.383
0,16200,49552,82523,DebtCon,Mgr,4,0,0,131.71,1,8,28.172
0,13300,86360,116111,HomeImp,Mgr,8,0,0,232.29,0,24,32.013
0,22800,64659,96063,DebtCon,Mgr,8,0,0,201.07,2,18,31.542
0,25300,56393,86612,DebtCon,Mgr,6,0,0,258.15,1,25,33.194
0,15700,135886,181894,DebtCon,Mgr,10,0,0,247.97,0,21,30.326
0,11900,89595,107895,HomeImp,Mgr,9,0,0,250.47,0,24,30.305
0,24700,111107,163926,DebtCon,Mgr,15,0,1,170.63,1,26,32.934
0,17300,48132,78889,DebtCon,Mgr,4,0,0,133.17,0,8,28.298
0,33700,26395,48905,DebtCon,Mgr,6,0,0,48.71,0,7,36.424
0,29400,39354,75553,DebtCon,Mgr,13,1,0,77.34,6,15,35.11
0,22600,109808,139133,DebtCon,Mgr,9,1,0,195.46,4,18,40.206
0,15800,20665,43790,DebtCon,Mgr,8,0,0,108.41,0,11,22.827
0,15500,46125,63276,DebtCon,Mgr,27,0,0,298.48,0,16,39.307
0,33100,238018,44379,DebtCon,Mgr,3,0,2,195.37,3,49,40.416
0,12400,16375,36672,DebtCon,Mgr,8,0,0,120.67,0,11,24.089
0,29900,131756,167302,DebtCon,Mgr,0,0,0,237.56,1,24,35.043
0,24500,123319,159934,DebtCon,Mgr,2,0,0,300.63,0,25,37.786
0,22200,137889,182973,HomeImp,Mgr,6,0,0,317.36,0,17,44.969
0,20100,74013,106578,HomeImp,Mgr,13,1,0,164.45,0,27,33.916
0,15100,140193,176342,DebtCon,Mgr,11,0,0,248.19,0,20,30.08
0,35200,239513,37076,DebtCon,Mgr,0,0,1,183.37,2,49,40.78
0,17800,137169,182280,DebtCon,Mgr,12,0,0,241.38,0,21,28.846
0,11300,54984,63958,DebtCon,Mgr,4,0,0,190.92,1,16,28.087
0,18600,96993,134785,DebtCon,Mgr,14,0,0,173.9,2,25,33.363
0,14100,49927,67761,DebtCon,Mgr,26,0,0,276.55,1,16,36.599
0,21100,143487,180122,HomeImp,Mgr,7,0,0,324.16,0,16,43.251
0,30800,125787,175196,DebtCon,Mgr,13,0,0,157.88,2,29,41.351
0,13900,88746,108160,HomeImp,Mgr,9,0,0,234.95,0,25,30.951
0,12000,57371,69076,DebtCon,Mgr,10,1,0,83.25,1,19,29.632
0,17500,99853,163401,DebtCon,Mgr,0,0,0,208.46,1,18,37.829
0,35000,239058,40848,DebtCon,Mgr,4,0,1,212.02,3,49,40.132
0,19300,76807,103026,HomeImp,Mgr,13,0,0,169.25,0,27,34.876
0,8600,45960,57473,DebtCon,Mgr,4,0,0,189.77,0,22,26.754
0,33500,73761,117729,DebtCon,Mgr,11,0,0,62.12,0,35,25.462
0,8700,77377,97070,DebtCon,Mgr,3,0,0,68.85,2,24,38.218
0,12700,79448,91004,DebtCon,Mgr,20,0,0,227.51,10,23,34.464
0,11700,55119,67931,DebtCon,Mgr,4,0,0,199.41,2,16,27.616
0,27800,127770,169440,DebtCon,Mgr,2,0,0,235.73,1,24,34.844
0,36300,25867,43823,DebtCon,Mgr,6,0,0,56.13,0,6,33.677
0,17900,46342,68029,DebtCon,Mgr,26,1,0,279.01,1,17,36.073
0,8600,42380,60733,DebtCon,Mgr,3,0,0,199.29,0,22,28.434
0,14700,30210,42751,DebtCon,Mgr,17,0,0,86.64,0,17,23.397
0,24700,53925,83056,DebtCon,Mgr,4,0,0,251.19,2,25,34.889
0,22700,77356,106233,HomeImp,Mgr,14,0,0,161.65,0,27,35.421
0,11300,77926,89216,DebtCon,Mgr,6,0,0,146.81,2,26,39.467
0,23100,109498,156191,DebtCon,Mgr,15,0,0,186.2,0,25,33.794
0,30500,124225,181129,DebtCon,Mgr,11,0,0,189.44,2,28,43.168
0,22400,89985,121601,HomeImp,Mgr,11,0,0,111.98,2,24,30.991
0,15100,44700,76456,DebtCon,Mgr,5,0,0,134.5,0,9,29.384
0,13800,94843,125541,HomeImp,Mgr,2,0,2,159.25,0,26,42.305
0,16600,74784,100221,DebtCon,Mgr,1,0,0,90.05,0,17,25.708
0,28800,132019,168828,DebtCon,Mgr,0,0,0,231.29,1,24,35.49
0,23600,96452,125277,HomeImp,Mgr,11,0,0,127.36,1,23,30.986
0,20800,77885,98188,DebtCon,Mgr,4,0,0,50.29,7,23,38.12
0,21700,91637,126105,HomeImp,Mgr,10,0,0,131.88,1,23,30.961
0,32300,133193,174905,DebtCon,Mgr,13,0,0,177.05,1,28,39.476
0,33700,83471,133221,DebtCon,Mgr,29,0,0,334.58,0,19,39.096
0,10300,82889,97189,DebtCon,Mgr,2,0,0,82.51,2,24,39.537
0,17400,49765,66782,DebtCon,Mgr,27,0,0,272.59,1,16,39.383
0,18900,82537,117610,DebtCon,Mgr,16,0,0,233.85,5,30,39.065
0,27700,35132,71456,DebtCon,Mgr,13,0,0,84.87,5,16,35.651
0,30100,78124,116280,DebtCon,Mgr,10,0,0,73.75,1,35,26.406
0,12900,31498,42695,HomeImp,Mgr,14,0,0,55.02,0,9,31.993
0,4700,67913,97205,,Mgr,2,0,0,142.82,0,24,35.227
0,28500,43413,73248,DebtCon,Mgr,13,0,0,102.57,6,16,35.672
0,22900,107241,138883,DebtCon,Mgr,9,1,0,201.79,5,18,41.141
0,24700,55435,89663,DebtCon,Mgr,7,0,0,252.62,2,26,34.742
0,11000,46093,60563,DebtCon,Mgr,4,0,0,190.48,1,21,29.578
0,31800,125864,175163,DebtCon,Mgr,12,0,0,174.21,2,28,40.585
0,12100,18728,34443,DebtCon,Mgr,9,0,0,117.65,0,10,21.59
0,17200,11950,170000,HomeImp,Mgr,22,0,0,77.28,1,20,28.822
0,19300,84425,119351,DebtCon,Mgr,15,0,0,238.67,4,31,38.298
0,27400,99900,143437,DebtCon,Mgr,21,0,0,211.11,0,12,39.11
0,7400,56596,72861,HomeImp,Mgr,3,0,1,141.96,0,23,28.3
0,17800,13660,173360,HomeImp,Mgr,23,0,0,78.84,2,21,30.063
0,23300,143821,177028,HomeImp,Mgr,8,0,0,320.92,0,16,44.753
0,22400,135912,181863,HomeImp,Mgr,7,0,0,316.99,0,17,45.007
0,36300,22431,42834,DebtCon,Mgr,6,0,0,50.42,0,6,33.416
0,22400,72866,95734,DebtCon,Mgr,5,0,0,75.96,7,23,37.507
0,18100,95322,119643,HomeImp,Mgr,2,0,0,313.6,1,20,42.119
0,26800,124199,166404,DebtCon,Mgr,1,0,0,243.94,2,23,34.51
0,9800,55330,78154,HomeImp,Mgr,2,0,1,122.71,0,23,28.896
0,22500,96170,118502,HomeImp,Mgr,10,0,0,118.15,1,24,33.201
0,9100,43249,52946,HomeImp,Mgr,20,1,1,228.4,1,18,35.182
0,20800,56597,79582,DebtCon,Mgr,9,1,0,67.69,3,27,36.061
0,24200,92572,121310,HomeImp,Mgr,9,0,0,117.05,1,24,30.483
0,24000,111488,163796,DebtCon,Mgr,15,0,0,185.8,0,25,32.23
0,24200,104005,158224,DebtCon,Mgr,14,0,0,175.62,0,25,33.992
0,12100,96439,126328,HomeImp,Mgr,3,0,3,156.32,0,26,39.279
0,25300,122933,157009,DebtCon,Mgr,3,0,0,280.57,0,24,38.741
0,21300,107012,159949,DebtCon,Mgr,15,0,0,166.08,0,26,33.355
0,17200,43996,79419,DebtCon,Mgr,5,0,0,140.97,0,9,28.662
0,35200,239987,43028,DebtCon,Mgr,2,0,1,210.19,3,49,41.337
0,26000,119553,158687,DebtCon,Mgr,5,0,0,290.76,0,24,36.978
0,13300,96201,124892,HomeImp,Mgr,3,0,3,178.03,0,26,40.103
0,20000,9722,173518,HomeImp,Mgr,21,0,0,89.21,2,20,31.121
0,35100,88197,132776,DebtCon,Mgr,30,0,0,333.05,0,20,39.295
0,15400,28669,43078,DebtCon,Mgr,14,1,0,108.2,1,17,24.674
0,20100,59726,79982,DebtCon,Mgr,8,1,0,74.21,2,28,36.847
0,9800,49287,69831,DebtCon,Mgr,2,0,0,182.99,2,16,29.713
0,30800,129062,176389,DebtCon,Mgr,13,0,0,184.32,2,28,40.894
0,30500,77246,121758,DebtCon,Mgr,10,0,0,79.21,0,34,26.522
0,21500,107799,160526,DebtCon,Mgr,16,0,0,195.49,0,25,32.379
0,16000,140979,181166,DebtCon,Mgr,9,0,0,236.71,0,21,27.841
0,17400,42876,66085,DebtCon,Mgr,26,0,0,281.58,1,16,38.028
0,10600,56814,66692,DebtCon,Mgr,10,0,0,107.37,1,18,32.626
0,34100,241545,42189,DebtCon,Mgr,1,0,2,196.55,3,50,42.043
0,10800,83441,92148,DebtCon,Mgr,5,0,0,119.15,1,26,40.979
0,11800,57760,65535,DebtCon,Mgr,11,0,0,108.47,1,18,32.783
0,15500,79185,88693,DebtCon,Mgr,19,0,0,244.21,10,23,36.339
0,11900,78959,104371,DebtCon,Mgr,1,0,0,79.08,1,23,40.024
0,19400,52677,80424,DebtCon,Mgr,9,2,0,65.85,2,28,34.951
0,18900,100416,161147,DebtCon,Mgr,1,0,0,216.1,1,18,38.46
0,21000,53572,80048,DebtCon,Mgr,9,2,0,69.91,2,27,34.931
0,20700,80124,99938,DebtCon,Mgr,7,0,0,69.32,7,24,38.68
0,16900,43643,80639,DebtCon,Mgr,3,0,0,128.58,1,8,28.896
0,6500,63144,76754,HomeImp,Mgr,2,0,2,129.08,0,23,29.055
0,23000,76561,111389,DebtCon,Mgr,8,0,1,301.23,2,28,30.347
0,26600,122501,153280,DebtCon,Mgr,2,0,0,289.58,0,25,38.13
0,11100,47689,52910,HomeImp,Mgr,21,1,1,224.48,1,18,34.947
0,17000,97438,158780,DebtCon,Mgr,0,0,0,210.91,1,18,38.797
0,12600,80612,93802,DebtCon,Mgr,5,0,0,141.61,2,26,40.749
0,20400,81823,114832,DebtCon,Mgr,18,0,0,234.39,4,31,35.206
0,10800,75378,86060,DebtCon,Mgr,6,0,0,102.67,0,23,30.095
0,18800,98582,122597,HomeImp,Mgr,1,0,0,307.52,1,20,39.394
0,8700,46489,63573,DebtCon,Mgr,4,0,0,196.25,1,21,28.788
0,23500,132737,285749,HomeImp,Mgr,4,0,0,213.39,0,14,31.236
0,28200,44363,72966,DebtCon,Mgr,16,1,0,82.27,6,16,34.981
0,13700,12577,41075,DebtCon,Mgr,7,0,0,133.54,0,10,22.965
0,27800,114417,150849,DebtCon,Mgr,5,0,0,285.39,0,24,38.582
0,8400,77144,91532,DebtCon,Mgr,19,0,1,311.76,1,24,40.913
0,15200,49428,62696,DebtCon,Mgr,27,0,0,265.4,1,16,38.501
0,14200,73533,88924,DebtCon,Mgr,21,0,0,232.35,10,23,36.471
0,18000,90275,135792,DebtCon,Mgr,13,0,0,178.66,1,26,33.337
0,21400,96016,135783,DebtCon,Mgr,14,0,0,169.02,2,25,35.612
0,4900,65873,90408,,Mgr,2,0,0,141.86,0,23,37.77
0,17400,44479,78121,DebtCon,Mgr,1,0,0,117.32,0,9,27.134
0,12100,74594,90555,DebtCon,Mgr,4,0,0,123.78,2,27,41.635
0,33600,79877,118554,DebtCon,Mgr,9,0,0,78.33,1,35,25.012
0,8900,80334,87448,DebtCon,Mgr,18,0,0,279.88,0,23,38.514
0,12700,27459,38577,HomeImp,Mgr,16,0,0,72.33,0,9,31.606
0,23800,76390,110315,DebtCon,Mgr,7,0,0,275.96,2,29,29.714
0,22100,69697,102155,HomeImp,Mgr,13,0,0,164.78,0,28,36.278
0,17200,51352,64386,DebtCon,Mgr,27,0,0,295.96,1,17,36.787
0,5000,68739,93435,,Mgr,3,0,0,148.72,0,23,36.669
0,27600,131887,174323,DebtCon,Mgr,0,0,0,243.05,2,24,35.272
0,9600,44553,48626,HomeImp,Mgr,20,0,1,226.45,0,18,35.556
0,8400,78089,90660,DebtCon,Mgr,9,0,0,118.64,0,22,27.093
0,4800,67317,97191,,Mgr,3,0,0,137.32,0,23,34.275
0,31200,124295,176185,DebtCon,Mgr,12,0,0,171.21,1,27,43.177
0,38100,67559,113024,DebtCon,Mgr,16,0,0,190.68,0,22,40.24
0,36500,18101,42320,DebtCon,Mgr,7,0,0,49.75,0,7,36.501
0,17100,74922,91187,DebtCon,Mgr,0,0,0,80.58,0,16,26.768
0,25400,82553,107422,DebtCon,Mgr,9,1,0,305.76,2,29,32.722
0,11700,74783,86227,DebtCon,Mgr,7,0,0,116.76,0,23,28.019
0,22100,92724,126348,HomeImp,Mgr,11,0,0,122.27,1,24,30.844
0,26800,96895,144482,DebtCon,Mgr,23,0,0,201.97,0,13,40.162
0,12800,77318,97616,DebtCon,Mgr,6,0,0,125.53,2,27,39.463
0,15200,90108,118941,HomeImp,Mgr,2,0,2,170.94,0,25,41.158
0,14400,20996,41987,DebtCon,Mgr,9,0,0,120.96,0,10,21.119
0,18700,136790,178135,DebtCon,Mgr,12,0,0,246.95,0,21,30.119
0,20800,96994,140564,DebtCon,Mgr,13,0,0,169.69,1,25,33.525
0,25700,94295,143788,DebtCon,Mgr,23,0,0,220.73,0,13,42.358
0,10600,48018,68963,DebtCon,Mgr,2,0,0,186.76,1,16,30.656
0,17400,11147,166496,HomeImp,Mgr,23,0,0,73.47,1,19,29.532
0,13700,88654,114011,HomeImp,Mgr,10,0,0,250.33,0,25,30.972
0,18900,101289,127485,HomeImp,Mgr,0,0,0,319.25,0,19,42.723
0,22800,96495,122362,HomeImp,Mgr,8,0,0,120.98,2,24,29.81
0,27600,124139,157940,DebtCon,Mgr,4,0,0,288.89,0,24,38.227
0,21600,105654,155460,DebtCon,Mgr,16,0,0,193.05,0,25,33.601
0,8800,78953,93018,DebtCon,Mgr,7,0,0,110.72,0,22,28.289
0,35600,20552,46697,DebtCon,Mgr,7,0,0,45.14,0,6,36.063
0,26100,75164,108483,DebtCon,Mgr,7,0,0,300.84,2,28,30.071
0,39100,68135,108723,DebtCon,Mgr,15,0,1,193.69,0,22,38.579
0,22800,74979,109716,DebtCon,Mgr,9,0,1,289.82,1,28,31.48
0,7400,82412,91326,DebtCon,Mgr,19,0,1,316.95,1,24,37.909
0,15700,79346,93472,DebtCon,Mgr,19,0,0,244.48,11,23,33.196
0,36000,89270,127834,DebtCon,Mgr,30,0,0,350.62,0,20,38.669
0,33000,232113,46286,DebtCon,Mgr,3,0,1,214.35,2,50,42.512
0,21100,55863,81406,DebtCon,Mgr,10,1,0,74.58,2,27,36.76
0,14400,78965,90729,DebtCon,Mgr,4,0,0,132.66,2,26,39.687
0,9200,52531,66491,DebtCon,Mgr,11,0,0,122.23,1,19,32.658
0,15200,142766,177998,DebtCon,Mgr,12,0,0,260.38,0,21,27.533
0,16500,45441,76145,DebtCon,Mgr,4,0,0,124.03,1,8,28.173
0,11400,75705,90727,DebtCon,Mgr,5,0,0,143.1,2,27,42.17
0,8400,60995,78444,HomeImp,Mgr,4,0,1,123.74,0,23,26.933
0,36400,86853,131508,DebtCon,Mgr,30,0,0,349.69,0,19,40.107
0,15200,20005,39605,DebtCon,Mgr,8,0,0,96.73,0,10,21.742
0,27300,37636,73328,DebtCon,Mgr,12,0,0,80.79,6,16,34.268
0,21300,143676,181960,HomeImp,Mgr,8,0,0,313.19,0,17,43.645
0,8000,57361,71167,HomeImp,Mgr,2,0,1,130.77,0,22,29.382
0,17000,73184,96889,DebtCon,Mgr,0,0,0,71.95,0,16,28.004
0,22900,70497,103855,HomeImp,Mgr,13,0,0,149.99,0,27,33.769
